"Year","Category","Nominee","Won"
1945,"BEST PICTURE","Mildred Pierce","no"
1945,"BEST PICTURE","Spellbound","no"
1946,"ACTOR IN A LEADING ROLE","The Best Years of Our Lives","yes"
1946,"ACTOR IN A LEADING ROLE","Henry V","no"
1946,"ACTOR IN A LEADING ROLE","The Jolson Story","no"
1946,"ACTOR IN A LEADING ROLE","The Yearling","no"
1946,"ACTOR IN A LEADING ROLE","It's a Wonderful Life","no"
1946,"ACTOR IN A SUPPORTING ROLE","The Green Years","no"
1946,"ACTOR IN A SUPPORTING ROLE","The Jolson Story","no"
1946,"ACTOR IN A SUPPORTING ROLE","Notorious","no"
1946,"ACTOR IN A SUPPORTING ROLE","The Best Years of Our Lives","yes"
1946,"ACTOR IN A SUPPORTING ROLE","The Razor's Edge","no"
1946,"ACTRESS IN A LEADING ROLE","To Each His Own","yes"
1946,"ACTRESS IN A LEADING ROLE","Brief Encounter","no"
1946,"ACTRESS IN A LEADING ROLE","Duel in the Sun","no"
1946,"ACTRESS IN A LEADING ROLE","Sister Kenny","no"
1946,"ACTRESS IN A LEADING ROLE","The Yearling","no"
1946,"ACTRESS IN A SUPPORTING ROLE","The Spiral Staircase","no"
1946,"ACTRESS IN A SUPPORTING ROLE","The Razor's Edge","yes"
1946,"ACTRESS IN A SUPPORTING ROLE","Duel in the Sun","no"
1946,"ACTRESS IN A SUPPORTING ROLE","Saratoga Trunk","no"
1946,"ACTRESS IN A SUPPORTING ROLE","Anna and the King of Siam","no"
1946,"DIRECTING","The Best Years of Our Lives","yes"
1946,"DIRECTING","Brief Encounter","no"
1946,"DIRECTING","It's a Wonderful Life","no"
1946,"DIRECTING","The Killers","no"
1946,"DIRECTING","The Yearling","no"
1946,"FILM EDITING","The Best Years of Our Lives","yes"
1946,"FILM EDITING","It's a Wonderful Life","no"
1946,"FILM EDITING","The Jolson Story","no"
1946,"FILM EDITING","The Killers","no"
1946,"FILM EDITING","The Yearling","no"
1946,"BEST PICTURE","The Best Years of Our Lives","yes"
1946,"BEST PICTURE","Henry V","no"
1946,"BEST PICTURE","It's a Wonderful Life","no"
1946,"BEST PICTURE","The Razor's Edge","no"
1946,"BEST PICTURE","The Yearling","no"
1947,"ACTOR IN A LEADING ROLE","A Double Life","yes"
1947,"ACTOR IN A LEADING ROLE","Body and Soul","no"
1947,"ACTOR IN A LEADING ROLE","Gentleman's Agreement","no"
1947,"ACTOR IN A LEADING ROLE","Life with Father","no"
1947,"ACTOR IN A LEADING ROLE","Mourning Becomes Electra","no"
1947,"ACTOR IN A SUPPORTING ROLE","The Farmer's Daughter","no"
1947,"ACTOR IN A SUPPORTING ROLE","Ride the Pink Horse","no"
1947,"ACTOR IN A SUPPORTING ROLE","Miracle on 34th Street","yes"
1947,"ACTOR IN A SUPPORTING ROLE","Crossfire","no"
1947,"ACTOR IN A SUPPORTING ROLE","Kiss of Death","no"
1947,"ACTRESS IN A LEADING ROLE","Possessed","no"
1947,"ACTRESS IN A LEADING ROLE","Smash-Up--The Story of a Woman","no"
1947,"ACTRESS IN A LEADING ROLE","Gentleman's Agreement","no"
1947,"ACTRESS IN A LEADING ROLE","Mourning Becomes Electra","no"
1947,"ACTRESS IN A LEADING ROLE","The Farmer's Daughter","yes"
1947,"ACTRESS IN A SUPPORTING ROLE","The Paradine Case","no"
1947,"ACTRESS IN A SUPPORTING ROLE","Crossfire","no"
1947,"ACTRESS IN A SUPPORTING ROLE","Gentleman's Agreement","yes"
1947,"ACTRESS IN A SUPPORTING ROLE","The Egg and I","no"
1947,"ACTRESS IN A SUPPORTING ROLE","Gentleman's Agreement","no"
1947,"DIRECTING","The Bishop's Wife","no"
1947,"DIRECTING","Crossfire","no"
1947,"DIRECTING","A Double Life","no"
1947,"DIRECTING","Gentleman's Agreement","yes"
1947,"DIRECTING","Great Expectations","no"
1947,"FILM EDITING","The Bishop's Wife","no"
1947,"FILM EDITING","Body and Soul","yes"
1947,"FILM EDITING","Gentleman's Agreement","no"
1947,"FILM EDITING","Green Dolphin Street","no"
1947,"FILM EDITING","Odd Man Out","no"
1947,"BEST PICTURE","The Bishop's Wife","no"
1947,"BEST PICTURE","Crossfire","no"
1947,"BEST PICTURE","Gentleman's Agreement","yes"
